episode_start,episode_end,max_prob_pre_12m,mean_prob_pre_12m,first_signal_date,lead_months,peak_prob_during_episode,missed_early_warning
1975-01-31,1975-04-30,,,,,0.9986570964125717,True
1980-02-29,1980-08-31,0.9857510530811092,0.3768915765737338,1979-04-30,10.0,0.9820785913142904,False
1981-08-31,1982-12-31,0.9844730522134431,0.6964429802564341,1980-08-31,12.0,0.9952323449026929,False
1990-08-31,1991-04-30,0.39059409990208926,0.18435150132437253,,,0.7013808605746868,True
2001-04-30,2001-12-31,0.2369514576335266,0.04327790970593757,,,0.816491780649703,True
2008-01-31,2009-07-31,0.8352391416701003,0.1217358797129386,2007-11-30,2.0,0.989391029807137,False
2020-03-31,2020-05-31,0.1284851859962933,0.026122354436772216,,,0.9016296406112752,True
