hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
1030F,0.0,51,50,2
4050F,0.0,143,105,7
G9432,0.0,59,56,3
G1010,0.0,156,113,6
89190,0.0,55,52,4
0004A,0.0,17,16,1
G8433,0.0,244,236,9
G0159,0.0,72,37,3
M1208,0.0,40,28,2
99080,0.0,183,106,7
J1741,0.0,34,27,2
G9745,0.0,80,79,5
3028F,0.0,97,93,7
A6449,0.0,18,14,1
99483,0.0,54,46,3
G8730,0.0,30,28,2
91306,0.0,72,72,3
Z6410,0.0,96,51,4
82375,0.0,31,24,2
G9551,0.0,98,89,7
87046,0.0,30,29,2
G8935,0.0,114,72,5
M0220,0.0,357,87,3
G8484,0.0,562,491,15
90694,0.0,47,40,2
4192F,0.0,17,17,1
C9113,0.0,207,107,8
G0300,0.0,423,91,7
87101,0.0,20,14,1
G9902,0.0,94,65,4
H0033,0.0,117,51,3
Q0144,0.0,102,91,6
3062F,0.0,14,12,1
90672,0.0,65,65,4
D0340,0.0,74,74,4
V2203,0.0,28,28,2
Q9966,0.0,17,14,1
G9512,0.0,178,161,5
96380,0.0,12,12,1
G1003,0.0,64,48,3
G8732,0.0,12,12,1
99457,0.0,65,65,5
0500F,0.0,31,30,2
1033F,0.0,151,148,8
99325,0.0,42,33,2
M0244,0.0,21,20,1
A6258,0.0,12,12,1
0501F,0.0,27,15,1
96132,0.0,22,16,1
D0470,0.0,13,13,1
S0077,0.0,64,26,2
Q0513,0.0,54,54,1
1035F,0.0,17,13,1
G9226,0.0,12,12,1
S0020,0.0,15,15,1
G9744,0.0,40,40,3
0001F,0.0,46,44,2
83037,0.0,12,12,1
J0741,0.0,12,12,1
11000,0.0,39,24,2
82575,0.0,13,13,1
J3411,0.0,24,12,1
1100F,0.0,93,90,4
Q2035,0.0,39,30,2
36430,0.0,30,25,2
3046F,0.0,69,69,5
G9557,0.0,13,13,1
96136,0.0,22,17,1
G9521,0.0,45,44,2
A0888,0.0,35,32,2
2023F,0.0,39,33,2
29505,0.0,13,13,1
J2710,0.0,23,18,1
82044,0.0,12,12,1
90732,0.0,71,46,3
3066F,0.0,19,15,1
Q0244,0.0,14,14,1
G9990,0.0,24,12,1
G9497,0.0,35,24,2
A9576,0.0,12,12,1
1494F,0.0,14,14,1
4044F,0.0,14,13,1
G2064,0.0,26,15,1
G9717,0.0,128,42,2
4037F,0.0,23,20,1
J1953,0.0,56,47,3
3210F,0.0,32,24,2
G9991,0.0,12,12,1
59426,0.0,50,31,2
Q2038,0.0,12,12,1
G9638,0.0,14,12,1
G0158,0.0,63,12,1
92537,0.0,17,14,1
4025F,0.0,23,19,1
2014F,0.0,15,13,1
G8967,0.0,14,13,1
