period,start,end,latest_prob,mean_prob,max_prob,months_above_threshold,observations
2008 Crisis Build-Up (2006-2010),2006-01-31,2010-12-31,0.003291318041133379,0.2595625900401713,0.9841323347184457,18,60
Current Regime (2023-2026),2023-01-31,2026-02-28,0.07870636799157536,0.0979877514925062,0.7069188344422014,1,38
