hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
H0006,484497016.11,8299938,3194412,100521
96110,475411403.62,29808797,25977807,772754
87880,473992884.56,47255481,42998333,1128830
T4523,471433057.66,6010601,5768601,55917
99395,469360251.35,7502662,6810786,289014
87389,468578504.89,31667081,29900559,149868
92340,468024173.39,22000433,20619586,514919
99239,464119502.11,9003244,8189642,404226
D2740,463981955.86,846178,536480,26514
80050,463123690.41,20483029,19327407,90290
A0380,462587902.48,11441537,2355117,20677
E0784,461730998.88,458941,400637,4377
83036,461410192.53,97602740,91916992,735771
69436,460153802.15,1094694,853297,41282
76856,459689762.22,7264182,6890915,229671
81220,458244362.55,2451870,2213788,14992
T2005,444740136.78,3270106,769623,11284
87502,444337011.33,8348067,7434665,163690
87661,441460243.01,25017148,23084450,108276
92012,435812542.54,10441311,9335008,301755
95165,434236238.98,2935745,1799015,59312
H2000,434195825.65,3665575,2201667,44689
D3220,433707880.35,5062023,2208446,96185
99472,432636582.72,1217832,267170,17094
D0145,431225141.01,5590205,5395148,213220
A4353,427714986.43,806921,688033,10170
70551,424024841.09,3190601,2948122,128713
T1030,423898051.05,3576086,992239,23056
A0436,423457915.64,469702,413415,8542
D2150,422473186.6,6314197,3586075,142149
G9002,422184894.45,4503842,2800954,29877
93303,418988668.34,2767086,2514830,85634
E0603,418864062.14,3152495,2977254,22204
45385,417596949.73,1176164,1090234,52594
T1013,417509002.98,7851560,4612868,40198
11042,416326718.52,5901837,2766214,126256
78452,415061434.36,1982012,1749577,80725
59409,412733347.33,683557,649817,33322
01967,409586689.04,1498996,1347017,65752
90960,403718640.71,5779366,5290094,210327
99244,402713049.8,3405681,3216424,139341
99238,402586305.9,9121773,8315092,361687
81479,399707511.86,2497545,1655920,6190
76819,399017716.65,6784295,4467449,140170
H2025,396401464.86,3402022,518409,14842
90935,395361788.33,4534614,998518,52932
J2350,391826851.67,24420,20729,1124
76705,389271038.58,9548254,8907553,314059
67028,389095552.01,4329122,3497959,125160
H2032,388984715.14,4051394,684533,12034
78815,387163869.44,806726,724319,36336
S3620,385234290.6,1538829,1176743,2722
S0201,384781653.02,807567,71569,2247
99396,378985629.98,6162335,5668234,224954
95004,376351262.74,2319106,2082099,88877
T1021,374440659.25,9813811,571567,14627
T4534,369591606.24,3724504,3449428,26421
G9008,369404997.95,4952338,2964423,23091
00170,358616852.84,2209884,1964484,79108
D3330,358346879.37,706914,621492,28724
76805,358159072.67,4669129,4312010,169706
99479,354867848.24,3255503,894430,51961
T4522,353462469.44,5540359,5262894,50123
D9999,350759693.3,2942383,2589486,45477
X4011,349820018.84,1024795,945872,36432
72148,348542557.82,2566914,2362821,104696
S9482,346791819.76,681946,236414,5728
76700,345867628.43,4948542,4715228,164619
A4927,344427190.42,23485557,21661436,101219
V2100,343735633.54,18525800,14603806,314374
71260,342122008.62,4196593,3866822,152505
45378,337370677.92,1008174,957674,44351
87651,335778525.5,14047350,12839065,278967
72125,334757861.95,5727185,5230232,204814
96366,333920995.81,3424871,2210691,73340
E2402,332837823.62,1185530,431349,7290
A4230,332106234.38,2264677,2073483,7762
V2103,326709025.18,20856663,17374239,279329
J0887,315651956.88,3619274,1971132,87555
99490,315026347.53,9042529,8272814,157969
87801,308749179.34,8932426,8095816,38899
87624,304044576.82,14434395,13749464,85014
76817,301069054.2,5811007,5006773,182026
0202U,295707400.37,1913413,1775346,35721
A7030,295237453.52,4858347,4322929,107884
59400,295209456.48,177823,160684,8517
90846,294107706.52,3081240,2012217,54243
E0483,294098006.19,483613,436130,2416
A4239,290868166.35,2411898,2094372,7301
G2212,289918488.96,1062220,682788,14900
T4524,288381101.49,3285826,3132805,38907
87086,287669620.95,53347414,48411089,370631
87811,286507173.93,10939832,8742534,171836
E0570,286442277.83,9590325,8578452,171859
A0434,282702625.57,2097484,732645,19637
H2030,281062724.55,3578581,325132,5477
S5165,278740844.32,401347,145139,4026
81528,276989932.55,984999,927518,734
73721,276820787.15,1853468,1638117,77587
K0553,276636947.04,2465054,2164376,9415
77063,276440625.73,10564597,10070399,282955
T2042,275432512.2,1314780,77261,3750
G2023,275376959.63,18604299,11854675,94786
99231,274271642.52,13024816,5246927,214862
99480,273151311.86,2659755,804184,47979
88175,271679693.59,17357978,16505745,79904
A0430,270435198.87,142733,125069,4015
90472,269029606.99,20815186,18001152,541133
H0001,267873206.11,3265107,2888950,83088
A4351,263046200.1,1932902,1680539,21125
D2751,262684652.07,560114,382215,19271
94640,261429716.11,8609434,6405027,169581
76815,260828935.03,6171129,4808507,182899
81001,260072078.14,85139705,76759738,845275
76801,260018812.81,4225903,3784343,143261
B4149,259093741.18,832415,634787,14679
J1270,257577649.99,15455545,1311523,58261
W0725,255094985.2,99673,31028,773
B4150,254359835.84,2834910,2206035,44384
Q3014,254040935.13,9529864,6850109,125546
87428,253337955.12,6645786,5918633,148395
T2015,252113325.52,1946330,301035,8387
76770,251304501.71,3916323,3699430,142155
93970,249768014.85,3528857,3212560,133567
D9222,247060174.89,2596501,2482666,78732
J7170,247040459.61,10264,7841,319
81025,246862671.89,42189148,37519978,885615
W7350,246679440.65,1141902,74576,2265
Q9967,246676803.43,17691761,15032171,245001
H0025,245831958.1,4103530,1011716,20781
97161,244773099.76,4464808,4091693,134000
59425,243762102.28,3944438,2731258,87311
Q5001,242515040.43,2826587,1417899,49695
A0110,241778631.16,31863729,2540638,17116
W6110,240880615.91,2285847,457558,102
99460,239857828.65,3570635,3326843,145725
S9342,239020887.03,3404311,535092,7849
K0108,237884206.85,1295313,623071,19203
T1999,237300797.81,4599025,2592783,18830
92523,234980111.69,2259842,1864775,63101
E0431,233333081.87,19275377,17079191,220512
A9277,232125953.26,531624,474104,4773
W0500,231984578.0,476189,388113,666
A9274,230041982.7,436099,383964,3584
T2014,229917044.39,2704864,205297,4199
D4341,228575836.97,3099237,1173255,58494
S5121,227564299.21,414498,98224,1798
92250,227275964.9,7948707,7444791,232754
88307,225791215.17,3481099,3129850,138379
T2027,225775419.04,2896062,110251,2742
V2784,223135677.3,21886182,17044225,273998
86480,222689852.41,7075977,6796793,39458
A0426,222479029.67,2387286,1379479,31886
87631,220546809.2,3641486,3292856,45574
A0435,219031633.41,137596,119477,3761
